,name,address,tel
76,기장역DT  ,부산광역시 기장군 기장읍 기장대로 527,1522-3232
77,동부산DT  ,부산광역시 기장군 기장읍 기장해안로 56,1522-3232
78,부산정관  ,부산광역시 기장군 정관읍 정관로 579,1522-3232
79,기장일광DT  ,부산광역시 기장군 일광읍 기장대로 706,1522-3232
80,부산P.아울렛  ,부산광역시 기장군 장안읍 정관로 1133,1522-3232
81,동부산테마파크  ,부산광역시 기장군 기장읍 동부산관광로 34,1522-3232
82,정관신도시DT  ,부산광역시 기장군 정관읍 모전로 101,1522-3232
83,기장임랑원  ,부산광역시 기장군 장안읍 임랑해안길 10,1522-3232
84,광안수변공원  ,부산광역시 수영구 민락수변로 29 (민락동),1522-3232
85,수영역  ,부산광역시 수영구 수영로 671 (광안동),1522-3232
86,금련산역  ,부산광역시 수영구 수영로464번길 6 (남천동),1522-3232
87,광안비치  ,부산광역시 수영구 광안로62번길 39 (광안동),1522-3232
88,수영망미DT  ,부산광역시 수영구 과정로 68 (망미동),1522-3232
89,광안리  ,부산광역시 수영구 광안해변로 247 (민락동),1522-3232
90,남천  ,부산광역시 수영구 남천바다로 38 (남천동),1522-3232
91,남천더샵  ,"부산광역시 수영구 수영로 389 (남천동, 더샵 남천프레스티지)",1522-3232
92,밀락더마켓  ,부산광역시 수영구 민락수변로17번길 56 (민락동),1522-3232
93,센텀수영DT  ,부산광역시 수영구 좌수영로 151 (망미동),1522-3232
94,스타필드명지  ,부산광역시 강서구 명지국제6로 168 스타필드 명지 1층,1522-3232
95,명지강변DT  ,부산광역시 강서구 르노삼성대로 620 (명지동),1522-3232
96,명지국제신도시  ,부산광역시 강서구 명지국제5로 42 (명지동),1522-3232
97,명지오션시티  ,부산광역시 강서구 명지오션시티11로 66 (명지동),1522-3232
98,강서녹산DT  ,부산광역시 강서구 낙동남로511번길 42 (녹산동),1522-3232
99,명지퍼스트월드  ,"부산광역시 강서구 명지국제7로 37 (명지동, 더샵 명지퍼스트월드 2단지)",1522-3232
100,동래역  ,부산광역시 동래구 충렬대로181번길 42 (명륜동),1522-3232
101,명륜역  ,부산광역시 동래구 동래로 25,1522-3232
102,사직구장  ,부산광역시 동래구 사직북로 4 (사직동),1522-3232
103,부산안락DT  ,부산광역시 동래구 충렬대로 446 (안락동),1522-3232
104,동래미남DT  ,부산광역시 동래구 충렬대로 101 (온천동),1522-3232
105,부산사직  ,부산광역시 동래구 사직북로 24 (사직동),1522-3232
106,부산온천장역  ,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)",1522-3232
107,부산동래  ,부산광역시 동래구 충렬대로 194 (명륜동),1522-3232
108,동래허심청  ,부산광역시 동래구 온천장로107번길 32 (온천동) 1층,1522-3232
109,부산미남역  ,부산광역시 동래구 석사북로 108 (온천동),1522-3232
110,부산송도해수욕장  ,"부산광역시 서구 송도해변로 97(101,102,201) (암남동)",1522-3232
111,부민사거리  ,부산광역시 서구 구덕로 212 (부민동1가),1522-3232
112,부산동대신역  ,부산광역시 서구 구덕로322번길 7 (동대신동3가),1522-3232
113,동아대병원  ,부산광역시 서구 동대로 8 (동대신동3가),1522-3232
114,해운대동백  ,"부산광역시 해운대구 해운대해변로 197 (우동, 해운대경동제이드아파트)",1522-3232
115,수영강변DT  ,부산광역시 해운대구 수영강변대로 516 (반여동),1522-3232
116,센텀파크  ,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차아파트)",1522-3232
117,해운대역  ,부산광역시 해운대구 구남로 9 (우동),1522-3232
118,부산재송DT  ,부산광역시 해운대구 해운대로 189 (재송동),1522-3232
119,해운대  ,부산광역시 해운대구 구남로 49 (중동) 101호,1522-3232
120,센텀로  ,부산광역시 해운대구 센텀2로 10 (우동) 센텀메디컬센타 1층 스타벅스 센텀로점,1522-3232
121,센텀신세계B1  ,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC,1522-3232
122,해운대달맞이DT  ,부산광역시 해운대구 달맞이길 57 (중동) 1~3층,1522-3232
123,센텀그린타워  ,부산광역시 해운대구 센텀중앙로 78 (우동),1522-3232
124,부산송정비치  ,부산광역시 해운대구 송정해변로 36 (송정동),1522-3232
125,장산역  ,부산광역시 해운대구 해운대로 802 (좌동),1522-3232
126,하버타운  ,부산광역시 해운대구 해운대해변로 257 (우동),1522-3232
127,벡스코  ,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)",1522-3232
128,팔레드시즈  ,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호 (중동)",1522-3232
129,제니스스퀘어  ,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)",1522-3232
130,마린시티아이파크  ,부산광역시 해운대구 마린시티2로 38 (우동),1522-3232
131,해운대달맞이  ,부산광역시 해운대구 달맞이길 189 (중동),1522-3232
132,해운대이마트  ,부산광역시 해운대구 좌동순환로 511 (중동) 1층,1522-3232
133,센텀드림월드  ,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)",1522-3232
134,센텀KNN  ,부산광역시 해운대구 센텀서로 30 (우동),1522-3232
135,월드마크센텀  ,"부산광역시 해운대구 센텀동로 25, 1층 (우동)",1522-3232
136,엘시티  ,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티) 1021호, 1022호, 1023호",1522-3232
137,해운대NC  ,부산광역시 해운대구 해운대로 813 (좌동),1522-3232
138,해운대좌동  ,부산광역시 해운대구 좌동순환로 178 (좌동),1522-3232
139,해운대 엑스더스카이  ,부산광역시 해운대구 달맞이길30,1522-3232
140,부산성모안과병원  ,부산광역시 해운대구 해운대로 409 (우동),1522-3232
141,센텀신세계3F  ,부산광역시 해운대구 센텀남대로 35 (우동),1522-3232
142,해운대중동역  ,부산광역시 해운대구 좌동순환로 6 (중동),1522-3232
143,센텀몰1F  ,부산광역시 해운대구 센텀4로 15 (우동),1522-3232
144,그랜드조선 부산  ,부산광역시 해운대구 해운대해변로 292 (중동),1522-3232
